cod;nome;UF;Periodo;valor
3146305;Padre Paraíso;MG;2020;1
3146255;Padre Carvalho;MG;2020;1
2512200;Prata;PB;2020;0
4312625;Muliterno;RS;2020;0
3146206;Ouro Verde de Minas;MG;2020;0
3146107;Ouro Preto;MG;2020;1
2512309;Princesa Isabel;PB;2020;0
1705508;Colinas do Tocantins;TO;2020;5
3146008;Ouro Fino;MG;2020;0
3145901;Ouro Branco;MG;2020;4
2512408;Puxinanã;PB;2020;1
1100320;São Miguel do Guaporé;RO;2020;3
3145877;Orizânia;MG;2020;0
3145851;Oratórios;MG;2020;0
2512507;Queimadas;PB;2020;8
4312617;Muitos Capões;RS;2020;1
3145802;Onça de Pitangui;MG;2020;0
3145703;Oliveira Fortes;MG;2020;0
2512606;Quixabá;PB;2020;0
4312609;Muçum;RS;2020;0
3145604;Oliveira;MG;2020;3
3145505;Olímpio Noronha;MG;2020;0
2512705;Remígio;PB;2020;2
1705557;Combinado;TO;2020;0
3145455;Olhos-d'Água;MG;2020;0
3145406;Olaria;MG;2020;0
2512721;Pedro Régis;PB;2020;0
5206404;Crixás;GO;2020;6
3145372;Novorizonte;MG;2020;0
3145356;Novo Oriente de Minas;MG;2020;2
2512747;Riachão;PB;2020;0
4312500;Mostardas;RS;2020;1
3145307;Novo Cruzeiro;MG;2020;0
3145208;Nova Serrana;MG;2020;10
2512754;Riachão do Bacamarte;PB;2020;0
4312476;Morro Reuter;RS;2020;0
3145109;Nova Resende;MG;2020;0
3145059;Nova Porteirinha;MG;2020;3
2512762;Riachão do Poço;PB;2020;0
1705607;Conceição do Tocantins;TO;2020;1
3145000;Nova Ponte;MG;2020;1
3144904;Nova Módica;MG;2020;0
2512788;Riacho de Santo Antônio;PB;2020;0
5206305;Cristianópolis;GO;2020;3
3144805;Nova Lima;MG;2020;6
3144706;Nova Era;MG;2020;0
2512804;Riacho dos Cavalos;PB;2020;0
4312450;Morro Redondo;RS;2020;0
3144672;Nova Belém;MG;2020;0
3144656;Ninheira;MG;2020;2
2512903;Rio Tinto;PB;2020;4
4312443;Morrinhos do Sul;RS;2020;0
3144607;Nepomuceno;MG;2020;0
3144508;Nazareno;MG;2020;0
2513000;Salgadinho;PB;2020;0
1706001;Couto Magalhães;TO;2020;1
3144409;Natércia;MG;2020;0
3144375;Natalândia;MG;2020;1
2513109;Salgado de São Félix;PB;2020;2
1300839;Caapiranga;AM;2020;0
3144359;Naque;MG;2020;1
3144300;Nanuque;MG;2020;7
2513158;Santa Cecília;PB;2020;1
4312427;Mormaço;RS;2020;0
3144201;Nacip Raydan;MG;2020;0
3144102;Muzambinho;MG;2020;0
2513208;Santa Cruz;PB;2020;1
4312401;Montenegro;RS;2020;2
3144003;Mutum;MG;2020;0
3143906;Muriaé;MG;2020;12
2513307;Santa Helena;PB;2020;0
1706100;Cristalândia;TO;2020;3
3143807;Munhoz;MG;2020;0
3143708;Morro do Pilar;MG;2020;0
2513356;Santa Inês;PB;2020;0
5221551;Turvelândia;GO;2020;1
3143609;Morro da Garça;MG;2020;0
3143500;Morada Nova de Minas;MG;2020;0
2513406;Santa Luzia;PB;2020;0
4312385;Monte Belo do Sul;RS;2020;1
3143450;Montezuma;MG;2020;0
3143401;Monte Sião;MG;2020;0
2513505;Santana de Mangueira;PB;2020;0
4312377;Monte Alegre dos Campos;RS;2020;0
3143302;Montes Claros;MG;2020;8
3143203;Monte Santo de Minas;MG;2020;0
2513604;Santana dos Garrotes;PB;2020;0
1706258;Crixás do Tocantins;TO;2020;1
3143153;Monte Formoso;MG;2020;0
3143104;Monte Carmelo;MG;2020;1
2513653;Santarém;PB;2020;0
5206206;Cristalina;GO;2020;15
3143005;Monte Belo;MG;2020;0
3142908;Monte Azul;MG;2020;0
2513703;Santa Rita;PB;2020;39
4312351;Montauri;RS;2020;0
3142809;Monte Alegre de Minas;MG;2020;0
3142700;Montalvânia;MG;2020;1
2513802;Santa Teresinha;PB;2020;0
4312302;Miraguaí;RS;2020;0
3142601;Monsenhor Paulo;MG;2020;0
3142502;Monjolos;MG;2020;0
2513851;Santo André;PB;2020;0
1706506;Darcinópolis;TO;2020;0
3142403;Moema;MG;2020;0
3142304;Moeda;MG;2020;0
2513901;São Bento;PB;2020;3
5205901;Corumbaíba;GO;2020;4
3142254;Miravânia;MG;2020;0
3142205;Miraí;MG;2020;1
2513927;São Bentinho;PB;2020;0
4312252;Minas do Leão;RS;2020;2
3142106;Miradouro;MG;2020;0
3142007;Mirabela;MG;2020;1
2513943;São Domingos do Cariri;PB;2020;0
4312203;Maximiliano de Almeida;RS;2020;0
3141900;Minduri;MG;2020;0
3141801;Minas Novas;MG;2020;0
2513968;São Domingos;PB;2020;0
1707009;Dianópolis;TO;2020;3
3141702;Mesquita;MG;2020;0
3141603;Mercês;MG;2020;0
2513984;São Francisco;PB;2020;0
1300904;Canutama;AM;2020;1
3141504;Mendes Pimentel;MG;2020;0
3141405;Medina;MG;2020;2
2514008;São João do Cariri;PB;2020;0
4312179;Mato Queimado;RS;2020;0
3141306;Medeiros;MG;2020;0
3141207;Matutina;MG;2020;0
2514107;São João do Tigre;PB;2020;0
4312153;Mato Leitão;RS;2020;0
3141108;Matozinhos;MG;2020;5
3141009;Mato Verde;MG;2020;1
2514206;São José da Lagoa Tapada;PB;2020;0
1707108;Divinópolis do Tocantins;TO;2020;1
3140902;Matipó;MG;2020;0
3140852;Matias Cardoso;MG;2020;0
2514305;São José de Caiana;PB;2020;1
5219258;Santa Fé de Goiás;GO;2020;0
3140803;Matias Barbosa;MG;2020;0
3140704;Mateus Leme;MG;2020;1
2514404;São José de Espinharas;PB;2020;0
4312138;Mato Castelhano;RS;2020;0
3140605;Materlândia;MG;2020;0
3140555;Mata Verde;MG;2020;0
2514453;São José dos Ramos;PB;2020;0
4312104;Mata;RS;2020;0
3140530;Martins Soares;MG;2020;2
3140506;Martinho Campos;MG;2020;0
2514503;São José de Piranhas;PB;2020;2
1707207;Dois Irmãos do Tocantins;TO;2020;1
3140407;Marmelópolis;MG;2020;0
3140308;Marliéria;MG;2020;0
2514552;São José de Princesa;PB;2020;0
5205802;Corumbá de Goiás;GO;2020;0
3140209;Maripá de Minas;MG;2020;0
3140159;Mário Campos;MG;2020;1
2514602;São José do Bonfim;PB;2020;1
4312054;Marques de Souza;RS;2020;0
3140100;Marilac;MG;2020;0
3140001;Mariana;MG;2020;2
2514651;São José do Brejo do Cruz;PB;2020;0
4312005;Mariano Moro;RS;2020;0
3139904;Maria da Fé;MG;2020;1
3139805;Mar de Espanha;MG;2020;0
2514701;São José do Sabugi;PB;2020;0
1707306;Dueré;TO;2020;1
3139706;Maravilhas;MG;2020;0
3139607;Mantena;MG;2020;2
2514800;São José dos Cordeiros;PB;2020;0
5205703;Córrego do Ouro;GO;2020;0
3139508;Manhumirim;MG;2020;1
3139409;Manhuaçu;MG;2020;11
2514909;São Mamede;PB;2020;0
4311981;Mariana Pimentel;RS;2020;0
